t,class,conf,area,infer_ms,e2e_ms,fired
1783028649.386,,,,53.8,87.0,
1783028649.439,,,,53.9,94.7,
1783028649.493,,,,54.7,97.5,
1783028649.548,,,,50.5,100.1,
1783028649.599,,,,48.0,96.5,
1783028649.647,,,,44.9,91.9,
1783028649.692,,,,60.0,100.4,
1783028649.753,,,,49.2,97.3,
1783028649.803,,,,49.0,49.0,
1783028649.858,,,,48.4,52.9,
1783028649.907,,,,50.0,51.0,
1783028649.962,,,,50.7,55.2,
1783028650.013,,,,50.5,55.0,
1783028650.064,,,,46.6,54.6,
1783028650.111,,,,49.4,50.4,
1783028650.161,,,,46.3,49.7,
1783028650.214,,,,49.2,53.1,
1783028650.263,,,,46.0,50.0,
1783028650.315,,,,49.0,52.5,
1783028650.370,,,,44.6,49.2,
1783028650.420,,,,49.1,54.4,
1783028650.469,,,,48.6,56.6,
1783028650.518,,,,46.2,54.7,
1783028650.570,,,,44.0,49.0,
1783028650.614,,,,48.6,48.6,
1783028650.669,,,,45.5,46.5,
1783028650.720,,,,51.0,53.5,
1783028650.771,,,,51.0,53.1,
1783028650.822,,,,48.9,51.6,
1783028650.877,,,,45.8,51.9,
1783028650.923,,,,48.8,52.8,
1783028650.983,,,,46.5,50.5,
1783028651.030,,,,47.3,55.3,
1783028651.083,,,,42.5,47.7,
1783028651.131,,,,45.5,51.5,
1783028651.178,,,,50.3,57.3,
1783028651.228,,,,42.7,43.7,
1783028651.277,,,,44.7,45.7,
1783028651.333,,,,45.9,50.9,
1783028651.379,,,,48.6,51.6,
1783028651.433,,,,47.4,49.9,
1783028651.480,,,,49.8,49.8,
1783028651.530,,,,45.8,47.8,
1783028651.581,,,,47.4,50.4,
1783028651.634,,,,47.5,52.0,
1783028651.682,,,,50.5,51.5,
1783028651.732,,,,50.3,51.8,
1783028651.788,,,,33.5,38.5,
1783028651.833,,,,48.6,50.6,
1783028651.887,,,,49.9,53.4,
1783028651.937,,,,48.3,48.3,
1783028651.991,,,,51.5,52.5,
1783028652.043,,,,46.7,50.7,
1783028652.095,,,,52.8,54.8,
1783028652.148,,,,50.0,55.2,
1783028652.198,,,,48.5,53.5,
1783028652.247,,,,50.2,55.2,
1783028652.298,,,,47.2,52.2,
1783028652.345,,,,50.9,53.9,
1783028652.402,,,,45.5,50.7,
1783028652.448,,,,49.1,56.1,
1783028652.497,,,,46.2,51.2,
1783028652.549,,,,47.0,48.0,
1783028652.601,,,,46.0,52.2,
1783028652.648,,,,45.0,49.0,
1783028652.699,,,,46.0,51.0,
1783028652.745,,,,45.0,46.0,
1783028652.801,,,,50.9,56.4,
1783028652.852,,,,47.2,51.2,
1783028652.899,,,,45.4,48.6,
1783028652.956,,,,46.3,51.7,
1783028653.002,,,,55.8,61.1,
1783028653.059,,,,55.0,58.7,
1783028653.113,,,,50.5,65.9,
1783028653.164,,,,53.2,71.5,
1783028653.217,,,,47.2,60.1,
1783028653.264,,,,46.7,60.2,
1783028653.312,,,,43.0,52.0,
1783028653.361,,,,47.4,48.4,
1783028653.414,,,,45.1,47.7,
1783028653.459,,,,53.1,56.1,
1783028653.512,,,,47.9,51.9,
1783028653.566,,,,46.0,50.5,
1783028653.617,,,,43.0,48.0,
1783028653.666,,,,45.0,50.0,
1783028653.711,,,,46.5,46.5,
1783028653.769,,,,47.1,51.6,
1783028653.816,,,,46.0,47.0,
1783028653.862,,,,48.5,48.5,
1783028653.916,,,,45.0,47.5,
1783028653.967,,,,49.1,52.1,
1783028654.016,,,,49.5,51.5,
1783028654.065,,,,44.3,46.3,
1783028654.121,,,,48.1,51.6,
1783028654.169,,,,47.0,49.0,
1783028654.221,,,,48.1,51.8,
1783028654.275,,,,45.4,50.4,
1783028654.321,,,,49.4,50.4,
1783028654.370,,,,49.6,49.6,
1783028654.425,,,,49.0,53.5,
1783028654.474,,,,46.0,46.0,
1783028654.531,,,,46.5,52.0,
1783028654.578,,,,45.5,47.5,
1783028654.629,,,,45.5,48.0,
1783028654.680,,,,43.9,45.9,
1783028654.735,,,,46.9,51.4,
1783028654.782,,,,48.0,51.0,
1783028654.830,,,,45.0,47.0,
1783028654.886,,,,45.0,48.6,
1783028654.937,,,,44.0,49.2,
1783028654.986,,,,48.5,50.5,
1783028655.040,,,,42.0,48.1,
1783028655.089,,,,50.9,54.4,
1783028655.140,,,,46.0,52.0,
1783028655.187,,,,48.8,52.3,
1783028655.241,,,,51.3,53.5,
1783028655.293,,,,46.5,53.1,
1783028655.340,,,,51.0,52.0,
1783028655.391,,,,45.3,48.3,
1783028655.436,,,,41.0,44.0,
1783028655.489,,,,32.2,33.2,
1783028655.544,,,,45.5,49.5,
1783028655.595,,,,43.5,47.5,
1783028655.644,,,,48.0,52.0,
1783028655.698,,,,49.1,53.1,
1783028655.747,,,,49.6,60.6,
1783028655.798,,,,46.9,49.9,
1783028655.845,,,,52.9,54.9,
1783028655.897,,,,54.1,58.1,
1783028655.952,,,,52.7,61.2,
1783028656.004,,,,56.5,65.5,
1783028656.061,,,,54.4,73.6,
1783028656.116,,,,56.4,77.4,
1783028656.173,,,,57.0,88.3,
1783028656.231,,,,61.1,97.1,
1783028656.292,,,,61.1,106.6,
1783028656.353,,,,62.5,67.5,
1783028656.415,,,,62.5,79.5,
1783028656.479,,,,65.8,98.2,
1783028656.545,,,,57.0,103.7,
1783028656.602,,,,58.4,59.5,
1783028656.660,,,,61.4,70.4,
1783028656.722,,,,61.1,79.1,
1783028656.783,,,,55.4,81.4,
1783028656.838,,,,63.7,96.1,
1783028656.902,,,,67.3,110.7,
1783028656.969,,,,56.0,68.2,
1783028657.025,,,,59.6,73.6,
1783028657.085,,,,49.0,76.3,
1783028657.134,,,,46.5,69.5,
1783028657.180,,,,44.1,59.6,
1783028657.224,,,,46.3,54.8,
1783028657.271,,,,47.5,54.5,
1783028657.318,,,,47.1,49.1,
1783028657.371,,,,49.5,52.5,
1783028657.420,,,,50.6,55.1,
1783028657.471,,,,53.3,58.1,
1783028657.524,,,,47.4,53.4,
1783028657.572,,,,48.3,52.3,
1783028657.620,,,,45.1,46.1,
